facture_id;client_id;date_emission;date_echeance;montant_ht;tva_pct;montant_ttc;somme_paiements;solde;conditions_paiement
FAC-2026-0106;CL-233;09/06/2026;09/07/2026;1050.01;20;1260.01;0.0;1260.01;30J
FAC-2026-0107;CL-211;25/04/2026;30/06/2026;1401.84;20;1682.21;0.0;1682.21;60J_FIN_DE_MOIS
FAC-2026-0108;CL-232;25/05/2026;09/07/2026;1093.52;20;1312.22;0.0;1312.22;45J
FAC-2026-0109;CL-229;09/06/2026;09/07/2026;125.36;20;150.44;0.0;150.44;30J
FAC-2026-0110;CL-229;09/06/2026;09/07/2026;2704.46;20;3245.35;0.0;3245.35;30J
FAC-2026-0111;CL-209;25/05/2026;09/07/2026;3014.83;20;3617.8;0.0;3617.8;45J
FAC-2026-0112;CL-215;25/04/2026;30/06/2026;2316.11;20;2779.34;0.0;2779.34;60J_FIN_DE_MOIS
FAC-2026-0113;CL-225;09/06/2026;09/07/2026;899.89;20;1079.87;0.0;1079.87;30J
FAC-2026-0114;CL-206;24/05/2026;23/06/2026;1330.13;20;1596.16;0.0;1596.16;30J
FAC-2026-0115;CL-206;24/05/2026;23/06/2026;1230.98;20;1477.18;0.0;1477.18;30J
FAC-2026-0116;CL-235;24/05/2026;23/06/2026;2447.42;20;2936.91;0.0;2936.91;30J
FAC-2026-0117;CL-205;09/04/2026;30/06/2026;984.36;20;1181.24;0.0;1181.24;60J_FIN_DE_MOIS
FAC-2026-0118;CL-205;09/04/2026;30/06/2026;2690.8;20;3228.96;0.0;3228.96;60J_FIN_DE_MOIS
FAC-2026-0119;CL-225;24/05/2026;23/06/2026;2075.69;20;2490.83;0.0;2490.83;30J
FAC-2026-0120;CL-211;09/04/2026;30/06/2026;887.92;20;1065.5;0.0;1065.5;60J_FIN_DE_MOIS
FAC-2026-0121;CL-222;09/05/2026;08/06/2026;1463.62;20;1756.35;0.0;1756.35;30J
FAC-2026-0122;CL-227;09/05/2026;08/06/2026;704.74;20;845.68;0.0;845.68;30J
FAC-2026-0123;CL-231;09/05/2026;08/06/2026;2538.24;20;3045.89;0.0;3045.89;30J
FAC-2026-0124;CL-235;09/05/2026;08/06/2026;2843.54;20;3412.25;0.0;3412.25;30J
FAC-2026-0125;CL-233;09/05/2026;08/06/2026;2933.35;20;3520.01;0.0;3520.01;30J
FAC-2026-0126;CL-216;18/04/2026;18/05/2026;2336.28;20;2803.54;0.0;2803.54;30J
FAC-2026-0127;CL-205;04/03/2026;31/05/2026;2995.07;20;3594.09;0.0;3594.09;60J_FIN_DE_MOIS
FAC-2026-0128;CL-234;03/04/2026;18/05/2026;1508.65;20;1810.38;0.0;1810.38;45J
FAC-2026-0129;CL-210;03/04/2026;18/05/2026;2105.03;20;2526.04;0.0;2526.04;45J
FAC-2026-0130;CL-205;09/06/2026;31/08/2026;1000.0;20;1200.0;400.0;800.0;60J_FIN_DE_MOIS
FAC-2026-0134;CL-228;23/04/2026;30/06/2026;980.0;20;1176.0;0.0;1176.0;60J_FIN_DE_MOIS
FAC-2026-0137;CL-208;05/06/2026;20/07/2026;8.25;20;9.9;0.0;9.9;45J
FAC-2026-0138;CL-202;23/04/2026;23/05/2026;5200.0;20;6240.0;0.0;6240.0;30J
FAC-2026-0139;CL-215;03/05/2026;31/07/2026;490.41;20;588.49;0.0;588.49;60J_FIN_DE_MOIS
FAC-2026-0140;CL-215;09/05/2026;31/07/2026;408.44;20;490.13;0.0;490.13;60J_FIN_DE_MOIS
