horodatage;devis_id;demande_id;client_id;raison_sociale;langue;date_devis;date_validite;nb_lignes_chiffrees;nb_lignes_clarifier;grand_total_ht;grand_total_tva;grand_total_ttc;remise_max_appliquee;fichier_outbox;detail_lignes
2026-07-23 14:45:35;DEV-F0020;DEV-0011;CL-217;Auto-École Conduite Plus;FR;27/07/2026;26/08/2026;1;0;1205.4;241.08;1446.48;18.0;DEV-F0020_CL-217.txt;[{'reference': 'PAP-A4-500', 'libelle': 'Ramette papier A4 80g (500 feuilles)', 'libelle_demande': 'Ramette papier A4 80g (500 feuilles)', 'qte': 300.0, 'prix_ht_unit': 4.9, 'remise_pct': 18.0, 'justif_remise': 'remise volume (≥300 unités) : 18.0%', 'total_ht': 1205.4, 'tva_pct': 20.0, 'total_tva': 241.08, 'total_ttc': 1446.48}]
2026-07-23 14:45:35;DEV-F0021;DEV-0012;CL-229;Cabinet Dentaire Molaire;FR;27/07/2026;26/08/2026;3;0;132.48;26.5;158.98;8.0;DEV-F0021_CL-229.txt;[{'reference': 'HYG-GEL-5L', 'libelle': 'Gel hydroalcoolique bidon 5 L', 'libelle_demande': 'Gel hydroalcoolique bidon 5 L', 'qte': 2.0, 'prix_ht_unit': 22.0, 'remise_pct': 8.0, 'justif_remise': 'remise contractuelle client : 8.0%', 'total_ht': 40.48, 'tva_pct': 20.0, 'total_tva': 8.1, 'total_ttc': 48.58}, {'reference': 'HYG-ESS-6', 'libelle': 'Essuie-mains (colis 6 bobines)', 'libelle_demande': 'Essuie-mains (colis 6 bobines)', 'qte': 4.0, 'prix_ht_unit': 14.5, 'remise_pct': 8.0, 'justif_remise': 'remise contractuelle client : 8.0%', 'total_ht': 53.36, 'tva_pct': 20.0, 'total_tva': 10.67, 'total_ttc': 64.03}, {'reference': 'HYG-SAV-CR', 'libelle': 'Savon crème recharge 1 L', 'libelle_demande': 'Savon crème recharge 1 L', 'qte': 10.0, 'prix_ht_unit': 4.2, 'remise_pct': 8.0, 'justif_remise': 'remise contractuelle client : 8.0%', 'total_ht': 38.64, 'tva_pct': 20.0, 'total_tva': 7.73, 'total_ttc': 46.37}]
2026-07-23 14:45:35;DEV-F0022;DEV-0013;CL-236;Nettoyage CleanPro;FR;27/07/2026;26/08/2026;1;0;354.0;70.8;424.8;0.0;DEV-F0022_CL-236.txt;[{'reference': 'INF-CAS-BT', 'libelle': 'Casque audio Bluetooth avec micro', 'libelle_demande': 'Casque audio Bluetooth avec micro', 'qte': 6.0, 'prix_ht_unit': 59.0, 'remise_pct': 0.0, 'justif_remise': 'aucune remise applicable', 'total_ht': 354.0, 'tva_pct': 20.0, 'total_tva': 70.8, 'total_ttc': 424.8}]
2026-07-23 14:45:35;DEV-F0023;DEV-0014;CL-225;Opticien Vision Claire;FR;27/07/2026;26/08/2026;2;0;1077.3;215.46;1292.76;5.0;DEV-F0023_CL-225.txt;[{'reference': 'PAP-MARK-4', 'libelle': 'Marqueurs effaçables (lot de 4)', 'libelle_demande': 'Marqueurs effaçables (lot de 4)', 'qte': 20.0, 'prix_ht_unit': 6.9, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥20 unités) : 5.0%', 'total_ht': 131.1, 'tva_pct': 20.0, 'total_tva': 26.22, 'total_ttc': 157.32}, {'reference': 'PAP-CLAS-8', 'libelle': 'Classeurs A4 dos 8 cm (lot de 10)', 'libelle_demande': 'Classeurs A4 dos 8 cm (lot de 10)', 'qte': 40.0, 'prix_ht_unit': 24.9, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥40 unités) : 5.0%', 'total_ht': 946.2, 'tva_pct': 20.0, 'total_tva': 189.24, 'total_ttc': 1135.44}]
2026-07-23 14:45:35;DEV-F0024;DEV-0015;CL-248;CL-248;EN;27/07/2026;26/08/2026;3;0;3282.0;656.4;3938.4;5.0;DEV-F0024_CL-248.txt;[{'reference': 'MOB-CHA-ERG', 'libelle': 'Chaise de bureau ergonomique', 'libelle_demande': 'Chaise de bureau ergonomique', 'qte': 12.0, 'prix_ht_unit': 149.0, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥12 unités) : 5.0%', 'total_ht': 1698.6, 'tva_pct': 20.0, 'total_tva': 339.72, 'total_ttc': 2038.32}, {'reference': 'MOB-BUR-140', 'libelle': 'Bureau plateau 140x70', 'libelle_demande': 'Bureau plateau 140x70', 'qte': 6.0, 'prix_ht_unit': 229.0, 'remise_pct': 0.0, 'justif_remise': 'aucune remise applicable', 'total_ht': 1374.0, 'tva_pct': 20.0, 'total_tva': 274.8, 'total_ttc': 1648.8}, {'reference': 'MOB-LAMP-LED', 'libelle': 'Lampe de bureau LED', 'libelle_demande': 'Lampe de bureau LED', 'qte': 6.0, 'prix_ht_unit': 34.9, 'remise_pct': 0.0, 'justif_remise': 'aucune remise applicable', 'total_ht': 209.4, 'tva_pct': 20.0, 'total_tva': 41.88, 'total_ttc': 251.28}]
2026-07-23 14:45:35;DEV-F0025;DEV-0016;CL-211;Plomberie Aquanet;FR;27/07/2026;26/08/2026;1;0;684.0;136.8;820.8;5.0;DEV-F0025_CL-211.txt;[{'reference': 'SEC-TRO-PH', 'libelle': 'Trousse premiers secours', 'libelle_demande': 'Trousse premiers secours', 'qte': 30.0, 'prix_ht_unit': 24.0, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥30 unités) : 5.0%', 'total_ht': 684.0, 'tva_pct': 20.0, 'total_tva': 136.8, 'total_ttc': 820.8}]
2026-07-23 14:45:35;DEV-F0026;DEV-0017;CL-230;Charpente Boisvert;FR;27/07/2026;26/08/2026;2;0;407.68;81.54;489.22;2.0;DEV-F0026_CL-230.txt;"[{'reference': 'INF-ECR-24', 'libelle': 'Écran 24 pouces Full HD', 'libelle_demande': 'Écran 24 pouces Full HD', 'qte': 2.0, 'prix_ht_unit': 119.0, 'remise_pct': 2.0, 'justif_remise': 'remise contractuelle client : 2.0%', 'total_ht': 233.24, 'tva_pct': 20.0, 'total_tva': 46.65, 'total_ttc': 279.89}, {'reference': 'INF-DOCK-USB', 'libelle': ""Station d'accueil USB-C"", 'libelle_demande': ""Station d'accueil USB-C"", 'qte': 2.0, 'prix_ht_unit': 89.0, 'remise_pct': 2.0, 'justif_remise': 'remise contractuelle client : 2.0%', 'total_ht': 174.44, 'tva_pct': 20.0, 'total_tva': 34.89, 'total_ttc': 209.33}]"
2026-07-23 14:45:35;DEV-F0027;DEV-0018;CL-999;CL-999;FR;27/07/2026;26/08/2026;1;0;2831.0;566.2;3397.2;5.0;DEV-F0027_CL-999.txt;[{'reference': 'MOB-CHA-ERG', 'libelle': 'Chaise de bureau ergonomique', 'libelle_demande': 'Chaise de bureau ergonomique', 'qte': 20.0, 'prix_ht_unit': 149.0, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥20 unités) : 5.0%', 'total_ht': 2831.0, 'tva_pct': 20.0, 'total_tva': 566.2, 'total_ttc': 3397.2}]
2026-07-23 14:45:35;DEV-F0028;DEV-0019;CL-240;Association Sport pour Tous;FR;27/07/2026;26/08/2026;1;0;2713.2;542.64;3255.84;5.0;DEV-F0028_CL-240.txt;[{'reference': 'INF-ECR-24', 'libelle': 'Écran 24 pouces Full HD', 'libelle_demande': 'Écran 24 pouces Full HD', 'qte': 24.0, 'prix_ht_unit': 119.0, 'remise_pct': 5.0, 'justif_remise': 'remise volume (≥24 unités) : 5.0%', 'total_ht': 2713.2, 'tva_pct': 20.0, 'total_tva': 542.64, 'total_ttc': 3255.84}]
2026-07-23 14:45:35;DEV-F0029;DEV-0020;CL-202;Menuiserie Lacan & Fils;FR;27/07/2026;26/08/2026;3;0;8187.5;1637.5;9825.0;18.0;DEV-F0029_CL-202.txt;[{'reference': 'CAF-CAP-100', 'libelle': 'Capsules café (boîte 100)', 'libelle_demande': 'Capsules café (boîte 100)', 'qte': 2.0, 'prix_ht_unit': 29.0, 'remise_pct': 0.0, 'justif_remise': 'aucune remise applicable', 'total_ht': 58.0, 'tva_pct': 20.0, 'total_tva': 11.6, 'total_ttc': 69.6}, {'reference': 'CAF-THE-100', 'libelle': 'Thé assortiment (100 sachets)', 'libelle_demande': 'Thé assortiment (100 sachets)', 'qte': 1.0, 'prix_ht_unit': 11.5, 'remise_pct': 0.0, 'justif_remise': 'aucune remise applicable', 'total_ht': 11.5, 'tva_pct': 20.0, 'total_tva': 2.3, 'total_ttc': 13.8}, {'reference': 'CAF-SUC-1000', 'libelle': 'Bûchettes de sucre (x1000)', 'libelle_demande': 'Bûchettes de sucre (x1000)', 'qte': 1000.0, 'prix_ht_unit': 9.9, 'remise_pct': 18.0, 'justif_remise': 'remise volume (≥1000 unités) : 18.0%', 'total_ht': 8118.0, 'tva_pct': 20.0, 'total_tva': 1623.6, 'total_ttc': 9741.6}]
2026-07-23 14:45:35;DEV-F0030;DEV-0022;CL-234;Informatique ProServ;FR;27/07/2026;26/08/2026;2;0;324.28;64.85;389.13;12.0;DEV-F0030_CL-234.txt;[{'reference': 'PAP-A4-500', 'libelle': 'Ramette papier A4 80g (500 feuilles)', 'libelle_demande': 'Ramette papier A4 80g (500 feuilles)', 'qte': 55.0, 'prix_ht_unit': 4.9, 'remise_pct': 12.0, 'justif_remise': 'remise volume (≥55 unités) : 12.0%', 'total_ht': 237.16, 'tva_pct': 20.0, 'total_tva': 47.43, 'total_ttc': 284.59}, {'reference': 'PAP-CAH-96', 'libelle': 'Cahier 96 pages grands carreaux', 'libelle_demande': 'Cahier 96 pages grands carreaux', 'qte': 55.0, 'prix_ht_unit': 1.8, 'remise_pct': 12.0, 'justif_remise': 'remise volume (≥55 unités) : 12.0%', 'total_ht': 87.12, 'tva_pct': 20.0, 'total_tva': 17.42, 'total_ttc': 104.54}]
