facture_id;client_id;date_emission;date_echeance;montant_ht;tva_pct;montant_ttc;statut
FAC-2026-0055;CL-226;04/05/2026;03/06/2026;2456.15;20;2947.39;EMISE
FAC-2026-0056;CL-205;29/03/2026;31/05/2026;1872.95;20;2247.54;EMISE
FAC-2026-0057;CL-211;10/06/2026;31/08/2026;284.45;20;341.34;EMISE
FAC-2026-0058;CL-239;17/05/2026;01/07/2026;1756.30;20;2107.56;EMISE
FAC-2026-0059;CL-212;28/05/2026;27/06/2026;731.07;20;877.28;EMISE
FAC-2026-0060;CL-224;06/05/2026;05/06/2026;2433.75;20;2920.50;EMISE
FAC-2026-0061;CL-216;13/06/2026;13/07/2026;2416.91;20;2900.30;EMISE
FAC-2026-0062;CL-223;25/05/2026;24/06/2026;82.59;20;99.10;EMISE
FAC-2026-0063;CL-231;13/05/2026;12/06/2026;1296.69;20;1556.03;EMISE
FAC-2026-0064;CL-233;10/03/2026;09/04/2026;91.98;20;110.38;EMISE
FAC-2026-0065;CL-210;27/04/2026;11/06/2026;1500.06;20;1800.07;EMISE
FAC-2026-0066;CL-220;10/05/2026;31/07/2026;1603.80;20;1924.56;EMISE
FAC-2026-0067;CL-239;29/04/2026;13/06/2026;1929.63;20;2315.56;EMISE
FAC-2026-0068;CL-219;17/03/2026;16/04/2026;1577.27;20;1892.73;EMISE
FAC-2026-0069;CL-233;29/03/2026;28/04/2026;1118.77;20;1342.53;EMISE
FAC-2026-0070;CL-234;13/03/2026;27/04/2026;1300.58;20;1560.69;EMISE
FAC-2026-0071;CL-206;26/07/2026;25/08/2026;152.00;20;182.40;EMISE
FAC-2026-0072;CL-241;15/07/2026;29/08/2026;1730.37;20;2076.44;EMISE
FAC-2026-0073;CL-225;12/07/2026;11/08/2026;1040.67;20;1248.80;EMISE
FAC-2026-0074;CL-241;26/07/2026;09/09/2026;1157.11;20;1388.53;EMISE
FAC-2026-0075;CL-216;11/07/2026;10/08/2026;533.72;20;640.47;EMISE
FAC-2026-0076;CL-230;24/07/2026;23/08/2026;1367.02;20;1640.42;EMISE
FAC-2026-0077;CL-233;09/07/2026;08/08/2026;238.14;20;285.77;EMISE
FAC-2026-0078;CL-234;24/07/2026;07/09/2026;1362.65;20;1635.18;EMISE
FAC-2026-0079;CL-231;18/07/2026;17/08/2026;1471.86;20;1766.23;EMISE
FAC-2026-0080;CL-217;19/07/2026;18/08/2026;1334.46;20;1601.35;EMISE
FAC-2026-0081;CL-214;19/07/2026;02/09/2026;1352.51;20;1623.01;EMISE
FAC-2026-0082;CL-230;11/07/2026;10/08/2026;1534.31;20;1841.18;EMISE
FAC-2026-0083;CL-205;11/07/2026;30/09/2026;1646.00;20;1975.20;EMISE
FAC-2026-0084;CL-219;02/07/2026;01/08/2026;160.41;20;192.49;EMISE
FAC-2026-0085;CL-241;06/07/2026;20/08/2026;421.06;20;505.27;EMISE
FAC-2026-0086;CL-239;22/07/2026;05/09/2026;650.65;20;780.78;EMISE
FAC-2026-0087;CL-242;03/07/2026;30/09/2026;1271.77;20;1526.12;EMISE
FAC-2026-0088;CL-240;08/07/2026;22/08/2026;309.52;20;371.42;EMISE
FAC-2026-0089;CL-231;25/07/2026;24/08/2026;915.57;20;1098.69;EMISE
FAC-2026-0090;CL-207;04/07/2026;18/08/2026;454.43;20;545.32;EMISE
FAC-2026-0091;CL-232;17/07/2026;31/08/2026;1299.26;20;1559.11;EMISE
FAC-2026-0092;CL-219;12/07/2026;11/08/2026;881.34;20;1057.61;EMISE
FAC-2026-0093;CL-208;09/07/2026;23/08/2026;422.71;20;507.25;EMISE
FAC-2026-0094;CL-206;11/07/2026;10/08/2026;110.11;20;132.13;EMISE
FAC-2026-0095;CL-230;24/07/2026;23/08/2026;1490.22;20;1788.27;EMISE
FAC-2026-0096;CL-229;18/07/2026;17/08/2026;745.38;20;894.45;EMISE
FAC-2026-0097;CL-214;24/07/2026;07/09/2026;1080.13;20;1296.16;EMISE
FAC-2026-0098;CL-210;03/07/2026;17/08/2026;981.39;20;1177.67;EMISE
FAC-2026-0099;CL-231;22/06/2026;22/07/2026;528.42;20;634.11;EMISE
FAC-2026-0100;CL-241;07/06/2026;22/07/2026;981.07;20;1177.28;EMISE
FAC-2026-0101;CL-209;07/06/2026;22/07/2026;2286.28;20;2743.53;EMISE
FAC-2026-0102;CL-218;22/06/2026;22/07/2026;1653.49;20;1984.19;EMISE
FAC-2026-0103;CL-240;07/06/2026;22/07/2026;1333.77;20;1600.52;EMISE
FAC-2026-0104;CL-212;22/06/2026;22/07/2026;131.06;20;157.27;EMISE
FAC-2026-0105;CL-240;25/05/2026;09/07/2026;2219.29;20;2663.15;EMISE
FAC-2026-0106;CL-233;09/06/2026;09/07/2026;1050.01;20;1260.01;EMISE
FAC-2026-0107;CL-211;25/04/2026;30/06/2026;1401.84;20;1682.21;EMISE
FAC-2026-0108;CL-232;25/05/2026;09/07/2026;1093.52;20;1312.22;EMISE
FAC-2026-0109;CL-229;09/06/2026;09/07/2026;125.36;20;150.44;EMISE
FAC-2026-0110;CL-229;09/06/2026;09/07/2026;2704.46;20;3245.35;EMISE
FAC-2026-0111;CL-209;25/05/2026;09/07/2026;3014.83;20;3617.80;EMISE
FAC-2026-0112;CL-215;25/04/2026;30/06/2026;2316.11;20;2779.34;EMISE
FAC-2026-0113;CL-225;09/06/2026;09/07/2026;899.89;20;1079.87;EMISE
FAC-2026-0114;CL-206;24/05/2026;23/06/2026;1330.13;20;1596.16;EMISE
FAC-2026-0115;CL-206;24/05/2026;23/06/2026;1230.98;20;1477.18;EMISE
FAC-2026-0116;CL-235;24/05/2026;23/06/2026;2447.42;20;2936.91;EMISE
FAC-2026-0117;CL-205;09/04/2026;30/06/2026;984.36;20;1181.24;EMISE
FAC-2026-0118;CL-205;09/04/2026;30/06/2026;2690.80;20;3228.96;EMISE
FAC-2026-0119;CL-225;24/05/2026;23/06/2026;2075.69;20;2490.83;EMISE
FAC-2026-0120;CL-211;09/04/2026;30/06/2026;887.92;20;1065.50;EMISE
FAC-2026-0121;CL-222;09/05/2026;08/06/2026;1463.62;20;1756.35;EMISE
FAC-2026-0122;CL-227;09/05/2026;08/06/2026;704.74;20;845.68;EMISE
FAC-2026-0123;CL-231;09/05/2026;08/06/2026;2538.24;20;3045.89;EMISE
FAC-2026-0124;CL-235;09/05/2026;08/06/2026;2843.54;20;3412.25;EMISE
FAC-2026-0125;CL-233;09/05/2026;08/06/2026;2933.35;20;3520.01;EMISE
FAC-2026-0126;CL-216;18/04/2026;18/05/2026;2336.28;20;2803.54;EMISE
FAC-2026-0127;CL-205;04/03/2026;31/05/2026;2995.07;20;3594.09;EMISE
FAC-2026-0128;CL-234;03/04/2026;18/05/2026;1508.65;20;1810.38;EMISE
FAC-2026-0129;CL-210;03/04/2026;18/05/2026;2105.03;20;2526.04;EMISE
FAC-2026-0130;CL-205;09/06/2026;31/08/2026;1000.00;20;1200.00;EMISE
FAC-2026-0131;CL-212;28/05/2026;27/06/2026;750.00;20;900.00;EMISE
FAC-2026-0132;CL-219;02/06/2026;02/07/2026;500.00;20;600.00;EMISE
FAC-2026-0133;CL-224;08/05/2026;07/06/2026;1450.00;20;1740.00;EMISE
FAC-2026-0134;CL-228;23/04/2026;30/06/2026;980.00;20;1176.00;EMISE
FAC-2026-0135;CL-231;17/06/2026;02/06/2026;640.00;20;768.00;EMISE
FAC-2026-0136;CL-236;07/06/2026;07/07/2026;1000.00;20;1150.00;EMISE
FAC-2026-0137;CL-208;05/06/2026;20/07/2026;8.25;20;9.90;EMISE
FAC-2026-0138;CL-202;23/04/2026;23/05/2026;5200.00;20;6240.00;EMISE
FAC-2026-0139;CL-215;03/05/2026;;490.41;20;588.49;EMISE
FAC-2026-0140;CL-215;09/05/2026;;408.44;20;490.13;EMISE
FAC-2026-0042;CL-205;14/05/2026;31/07/2026;999.99;20;1199.99;EMISE
